country,ISO 3166-1 alpha-3,year,GDP_Value,suicides_no,latitude,longitude
Estonia,EST,2006,12639.40007,247,58.595272,25.0136071
Estonia,EST,2007,16744.58445,251,58.595272,25.0136071
Estonia,EST,2008,18204.96648,242,58.595272,25.0136071
Estonia,EST,2009,14711.73527,269,58.595272,25.0136071
Estonia,EST,2010,14663.04461,223,58.595272,25.0136071
Estonia,EST,2011,17487.80478,218,58.595272,25.0136071
Estonia,EST,2012,17403.20533,237,58.595272,25.0136071
Estonia,EST,2013,19056.00192,218,58.595272,25.0136071
Estonia,EST,2014,20261.06673,241,58.595272,25.0136071
Estonia,EST,2015,17402.03761,195,58.595272,25.0136071
Finland,FIN,2006,41222.602,1062,61.92410999999999,25.7481511
Finland,FIN,2007,48476.39273,995,61.92410999999999,25.7481511
Finland,FIN,2008,53772.79424,1033,61.92410999999999,25.7481511
Finland,FIN,2009,47481.48454,1034,61.92410999999999,25.7481511
Finland,FIN,2010,46505.30318,954,61.92410999999999,25.7481511
Finland,FIN,2011,51148.93164,912,61.92410999999999,25.7481511
Finland,FIN,2012,47708.06128,873,61.92410999999999,25.7481511
Finland,FIN,2013,49892.22336,887,61.92410999999999,25.7481511
Finland,FIN,2014,50327.24029,789,61.92410999999999,25.7481511
Finland,FIN,2015,42801.90812,731,61.92410999999999,25.7481511
France,FRA,2006,36470.21284,10423,46.227638,2.213749
France,FRA,2007,41557.62356,10127,46.227638,2.213749
France,FRA,2008,45515.96175,10353,46.227638,2.213749
France,FRA,2009,41737.76355,10499,46.227638,2.213749
France,FRA,2010,40676.06479,10379,46.227638,2.213749
France,FRA,2011,43846.46608,10408,46.227638,2.213749
France,FRA,2012,40870.85236,9743,46.227638,2.213749
France,FRA,2013,42602.71797,9600,46.227638,2.213749
France,FRA,2014,43068.54872,8881,46.227638,2.213749
United Kingdom,GBR,2006,44536.61972,4122,55.3781,-3.436
United Kingdom,GBR,2007,50435.37029,3897,55.3781,-3.436
United Kingdom,GBR,2008,47429.93634,4259,55.3781,-3.436
United Kingdom,GBR,2009,38821.17958,4246,55.3781,-3.436
United Kingdom,GBR,2010,39693.19387,4188,55.3781,-3.436
United Kingdom,GBR,2011,42150.69814,4393,55.3781,-3.436
United Kingdom,GBR,2012,42485.58607,4444,55.3781,-3.436
United Kingdom,GBR,2013,43449.09172,4824,55.3781,-3.436
United Kingdom,GBR,2014,47447.58893,4788,55.3781,-3.436
United Kingdom,GBR,2015,45071.07432,4910,55.3781,-3.436
Georgia,GEO,2006,1996.057129,72,32.1656221,-82.9000751
Georgia,GEO,2007,2635.353882,104,32.1656221,-82.9000751
Georgia,GEO,2009,2822.66743,188,32.1656221,-82.9000751
Georgia,GEO,2010,3233.295943,112,32.1656221,-82.9000751
Georgia,GEO,2011,4021.743306,99,32.1656221,-82.9000751
Georgia,GEO,2012,4421.818242,104,32.1656221,-82.9000751
Georgia,GEO,2013,4623.745725,157,32.1656221,-82.9000751
Georgia,GEO,2014,4739.188338,194,32.1656221,-82.9000751
Georgia,GEO,2015,4014.185944,192,32.1656221,-82.9000751
Greece,GRC,2006,24821.93675,394,39.074208,21.824312
Greece,GRC,2007,28863.97329,328,39.074208,21.824312
Greece,GRC,2008,32127.98319,373,39.074208,21.824312
Greece,GRC,2009,29828.75602,391,39.074208,21.824312
Greece,GRC,2010,26716.64883,377,39.074208,21.824312
Greece,GRC,2011,25483.88256,477,39.074208,21.824312
Greece,GRC,2012,21912.99829,508,39.074208,21.824312
Greece,GRC,2013,21787.78776,533,39.074208,21.824312
Greece,GRC,2014,21616.71001,565,39.074208,21.824312
Greece,GRC,2015,18083.87791,529,39.074208,21.824312
Croatia,HRV,2006,11810.053,796,45.1,15.2000001
Croatia,HRV,2007,14069.34801,775,45.1,15.2000001
Croatia,HRV,2008,16461.28913,793,45.1,15.2000001
Croatia,HRV,2009,14708.88091,790,45.1,15.2000001
Croatia,HRV,2010,14124.81084,776,45.1,15.2000001
Croatia,HRV,2011,14812.86947,702,45.1,15.2000001
Croatia,HRV,2012,13443.13523,776,45.1,15.2000001
