country,ISO 3166-1 alpha-3_x,year,GDP_Value,Total amount of CO2,latitude,longitude
Slovakia,SVK,2008,18753.58494,41.359045,48.669026,19.699024
Slovakia,SVK,2009,16597.20846,37.622061,48.669026,19.699024
Slovakia,SVK,2010,16908.84796,38.403931,48.669026,19.699024
Slovakia,SVK,2011,18509.74022,37.984837,48.669026,19.699024
Slovakia,SVK,2012,17498.3539,35.910395,48.669026,19.699024
Slovakia,SVK,2013,18276.00955,35.565563,48.669026,19.699024
Slovakia,SVK,2014,18719.98814,33.656215,48.669026,19.699024
Slovakia,SVK,2015,16390.88217,34.468229,48.669026,19.699024
Slovakia,SVK,2016,16563.4405,34.912876,48.669026,19.699024
Slovenia,SVN,2006,19672.96556,17.178324,46.151241,14.995463
Slovenia,SVN,2007,23817.88673,17.342812,46.151241,14.995463
Slovenia,SVN,2008,27595.59997,18.278409,46.151241,14.995463
Slovenia,SVN,2009,24792.12798,16.204024,46.151241,14.995463
Slovenia,SVN,2010,23532.48085,16.459522,46.151241,14.995463
Slovenia,SVN,2011,25128.01504,16.358579,46.151241,14.995463
Slovenia,SVN,2012,22641.80512,15.760511,46.151241,14.995463
Slovenia,SVN,2013,23503.28249,15.133322,46.151241,14.995463
Slovenia,SVN,2014,24247.17332,13.56817,46.151241,14.995463
Slovenia,SVN,2015,20890.16643,13.653307,46.151241,14.995463
Slovenia,SVN,2016,21678.35947,14.464584,46.151241,14.995463
Sweden,SWE,2006,46593.60216,53.885099,60.12816100000001,18.643501
Sweden,SWE,2007,53700.00534,53.151971,60.12816100000001,18.643501
Sweden,SWE,2008,56152.55234,51.070465,60.12816100000001,18.643501
Sweden,SWE,2009,46946.96027,47.421459,60.12816100000001,18.643501
Sweden,SWE,2010,52869.04429,53.287345,60.12816100000001,18.643501
Sweden,SWE,2011,60755.75955,49.405178,60.12816100000001,18.643501
Sweden,SWE,2012,58037.82132,46.918582,60.12816100000001,18.643501
Sweden,SWE,2013,61126.9432,45.351341,60.12816100000001,18.643501
Sweden,SWE,2014,60020.36046,43.477929,60.12816100000001,18.643501
Sweden,SWE,2015,51545.48361,43.741733,60.12816100000001,18.643501
Sweden,SWE,2016,51965.15715,43.415985,60.12816100000001,18.643501
Turkey,TUR,2006,8003.551154,282.266691,38.963745,35.243322
Turkey,TUR,2007,9668.628782,313.578157,38.963745,35.243322
Turkey,TUR,2008,10802.78061,310.532303,38.963745,35.243322
Turkey,TUR,2009,8989.502589,316.319322,38.963745,35.243322
Turkey,TUR,2010,10615.32806,316.036475,38.963745,35.243322
Turkey,TUR,2011,11308.0649,341.862344,38.963745,35.243322
Turkey,TUR,2012,11697.48051,355.88264,38.963745,35.243322
Turkey,TUR,2013,12507.59451,347.152667,38.963745,35.243322
Turkey,TUR,2014,12020.58264,363.866339,38.963745,35.243322
Turkey,TUR,2015,10851.95413,384.330489,38.963745,35.243322
Turkey,TUR,2016,10734.37997,405.304505,38.963745,35.243322
Ukraine,UKR,2006,2391.323975,332.613143,48.379433,31.1655799
Ukraine,UKR,2007,3197.934326,336.351221,48.379433,31.1655799
Ukraine,UKR,2008,4066.547852,325.536205,48.379433,31.1655799
Ukraine,UKR,2009,2639.391602,277.296698,48.379433,31.1655799
Ukraine,UKR,2010,3078.429932,294.110664,48.379433,31.1655799
Ukraine,UKR,2011,3704.824951,307.956066,48.379433,31.1655799
Ukraine,UKR,2012,4004.804443,303.976228,48.379433,31.1655799
Ukraine,UKR,2013,4187.739746,297.251191,48.379433,31.1655799
Ukraine,UKR,2014,3104.643311,257.510818,48.379433,31.1655799
Ukraine,UKR,2015,2124.662354,223.824094,48.379433,31.1655799
Ukraine,UKR,2016,2187.730469,234.008459,48.379433,31.1655799
